"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",39,630,640,660,670,700,750,770,770,772
"GET /about-us/our-team",33,710,730,750,790,830,1200,1300,1300,1283
"GET /bear-mountain",27,650,670,680,700,720,730,1100,1100,1064
"GET /blogs",24,730,760,780,780,790,800,1100,1100,1133
"GET /contact-us",28,710,770,830,840,850,900,1200,1200,1209
"GET /demos/content-geolocation",54,630,660,690,700,710,730,740,780,780
"POST /dotAdmin",4,680,680,730,730,730,730,730,730,726
"GET /go-quest",19,740,770,890,890,960,1100,1100,1100,1132
"GET /products",18,390,400,740,770,800,850,850,850,851
"GET /services/wealth-managers",14,700,730,740,800,810,830,830,830,826
"None Total",260,640,700,730,740,800,850,1100,1200,1283
