"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/dotAdmin",76,0,670,556,260,1277,17665,0.52
"POST","/intranet",0,104,0,0,0,0,0,0.00
"None","Total",76,104,670,556,260,1277,17665,0.52
